"序号","代码","名称","涨跌幅","最新价","成交额","流通市值","总市值","换手率","封板资金","首次封板时间","最后封板时间","炸板次数","涨停统计","连板数","所属行业","交易日期","数据类型","动态市盈率","封单资金","板上成交额","连续跌停","开板次数","涨停价","涨速","振幅"
"1010","002297","博云新材","-10.060060501098633","5.99","92750022","3432897865.81","3432897847.84","2.671074390411377","","","110415","","","","航天航空","2025-04-07","跌停","-152.85328674316406","7202975.0","102741079.0","1.0","0.0","","",""
"1011","000913","钱江摩托","-9.970845222473145","15.44","127144555","7060983358.0","8131800363.5199995","1.7810755968093872","","","133224","","","","交运设备","2025-04-07","跌停","13.064594268798828","7204304.0","33693430.0","1.0","19.0","","",""
"1012","301121","紫建电子","-20.0","45.36","158467252","1648837360.8","3211632426.24","9.14496898651123","","","140224","","","","电池","2025-04-07","跌停","40.044334411621094","7253154.0","20189736.0","1.0","12.0","","",""
"1013","605287","德才股份","-9.961977005004883","11.84","29709909","1657600000.0","1657600000.0","1.7754285335540771","","","110038","","","","装修装饰","2025-04-07","跌停","15.852840423583984","7261472.0","12282103.0","1.0","19.0","","",""
"1014","603931","格林达","-9.989063262939453","24.69","95272356","4927096402.2","4927096402.2","1.9036269187927246","","","130712","","","","电子化学","2025-04-07","跌停","33.30986785888672","7262316.0","39023359.0","1.0","6.0","","",""
"1015","300046","台基股份","-19.986652374267578","23.98","349246208","5672022276.58","5672022276.58","5.780163288116455","","","135718","","","","半导体","2025-04-07","跌停","224.24795532226562","7269537.0","46916870.0","1.0","2.0","","",""
"1016","603122","合富中国","-9.928057670593262","6.26","41624232","2491809482.58","2491809526.4","1.6479227542877197","","","111211","","","","医药商业","2025-04-07","跌停","90.3933334350586","7278502.0","11402590.0","1.0","4.0","","",""
"1017","600322","津投城开","-10.0","2.07","62177591","2288799000.0","2288799000.0","2.663287401199341","","","133431","","","","房地产开","2025-04-07","跌停","-7.9848127365112305","7283502.0","10407753.0","1.0","0.0","","",""
"1018","603871","嘉友国际","-10.013350486755371","13.48","205792697","13171969086.16","13171969059.2","1.528717279434204","","","140107","","","","物流行业","2025-04-07","跌停","9.07491397857666","7295618.0","17544489.0","1.0","2.0","","",""
"1019","603601","再升科技","-9.972298622131348","3.25","68819112","3320367654.5","3320367648.0","2.043782949447632","","","110836","","","","玻璃玻纤","2025-04-07","跌停","27.403017044067383","7309640.0","22981725.0","1.0","8.0","","",""
"1020","688097","博众精工","-20.0","21.96","279300640","9741972389.4","9808384809.6","2.7079007625579834","","","135013","","","","专用设备","2025-04-07","跌停","24.60649871826172","7311603.0","16501853.0","1.0","0.0","","",""
"1021","002591","恒大高新","-9.9609375","4.61","41957352","1030427024.82","1383919639.68","4.029349327087402","","","105012","","","","互联网服","2025-04-07","跌停","73.0214614868164","7316070.0","26391789.0","1.0","6.0","","",""
"1022","600658","电子城","-9.975668907165527","3.7","47134577","4138764666.5","4138764648.0","1.1211439371109009","","","111456","","","","房地产服","2025-04-07","跌停","-6.326984405517578","7347238.0","14122034.0","1.0","6.0","","",""
"1023","601298","青岛港","-9.980039596557617","9.02","276980912","48636516500.0","58549721134.079994","0.5498249530792236","","","134450","","","","航运港口","2025-04-07","跌停","11.184502601623535","7347818.0","11471636.0","1.0","0.0","","",""
"1024","000757","浩物股份","-10.10362720489502","3.47","53057966","1848519450.3300002","1848524853.1200001","2.8363595008850098","","","103533","","","","汽车服务","2025-04-07","跌停","-58.02751922607422","7359870.0","21772862.0","1.0","4.0","","",""
"1025","301578","辰奕智能","-20.008451461791992","37.86","51362577","674778780.0","2362464000.0","7.199629783630371","","","133500","","","","消费电子","2025-04-07","跌停","54.11351776123047","7371228.0","5429124.0","1.0","0.0","","",""
"1026","002620","瑞和股份","-10.027100563049316","3.32","42751996","1046097740.92","1253280080.0","4.0533857345581055","","","130318","","","","装修装饰","2025-04-07","跌停","-8.676178932189941","7379032.0","22013592.0","1.0","11.0","","",""
"1027","600053","九鼎投资","-10.014947891235352","12.04","66891462","5219831232.0","5219831232.0","1.263364315032959","","","133701","","","","多元金融","2025-04-07","跌停","558.9443359375","7408212.0","108530968.0","1.0","0.0","","",""
"1028","001296","长江材料","-10.017074584960938","15.81","40734334","1215019669.5900002","2365035069.66","3.3161685466766357","","","110212","","","","非金属材","2025-04-07","跌停","19.140424728393555","7419822.0","10779889.0","1.0","1.0","","",""
"1029","000906","浙商中拓","-10.032362937927246","5.56","66920956","3903235447.8399997","3939602940.7999997","1.681518793106079","","","130627","","","","物流行业","2025-04-07","跌停","8.162064552307129","7425380.0","10165904.0","1.0","4.0","","",""
"1030","600280","中央商场","-10.115607261657715","3.11","115325779","3509121190.68","3509121178.24","3.171602964401245","","","135852","","","","商业百货","2025-04-07","跌停","-102.73419952392578","7435699.0","13637350.0","1.0","0.0","","",""
"1031","002012","凯恩股份","-10.041841506958008","4.3","59145413","2006111856.3","2010789529.6","2.9064106941223145","","","130024","","","","造纸印刷","2025-04-07","跌停","350.2639465332031","7442870.0","17456280.0","1.0","6.0","","",""
"1032","300449","汉邦高科","-19.97354507446289","6.05","197739913","1792418973.95","2344255839.2","10.497672080993652","","","144539","","","","计算机设","2025-04-07","跌停","-68.83085632324219","7462675.0","15755410.0","1.0","7.0","","",""
"1033","603530","神马电力","-10.0","23.67","90294379","10118091200.58","10231672973.76","0.8742982149124146","","","135745","","","","电网设备","2025-04-07","跌停","32.927894592285156","7493922.0","140277888.0","1.0","1.0","","",""
"1034","002099","海翔药业","-10.0","4.68","83738554","7565381183.879999","7575587360.639999","1.0803481340408325","","","110748","","","","化学制药","2025-04-07","跌停","474.2742614746094","7494084.0","14104116.0","1.0","9.0","","",""
"1035","000421","南京公用","-10.032894134521484","5.47","85860705","3141215513.98","3151053626.24","2.678305149078369","","","131827","","","","燃气","2025-04-07","跌停","-163.93777465820312","7517421.0","12860517.0","1.0","0.0","","",""
"1036","600853","龙建股份","-9.947644233703613","3.44","111093357","3479359950.24","3488269199.36","3.1379358768463135","","","112224","","","","工程建设","2025-04-07","跌停","8.446981430053711","7517831.0","16731472.0","1.0","2.0","","",""
"1037","002331","皖通科技","-10.0","6.93","60559639","2743207894.35","2948241985.92","2.1882286071777344","","","111124","","","","互联网服","2025-04-07","跌停","-114.47264099121094","7532660.0","18156155.0","1.0","3.0","","",""
"1038","605178","时空科技","-9.97032642364502","15.17","19767665","1505646772.0","1505646772.0","1.3065783977508545","","","104837","","","","装修装饰","2025-04-07","跌停","-8.29940414428711","7545861.0","57837142.0","1.0","11.0","","",""
"1039","301027","华蓝集团","-20.03167152404785","10.1","65567403","1193346754.3999999","1493397514.0","5.257583141326904","","","134212","","","","工程咨询","2025-04-07","跌停","-47.72659683227539","7553638.0","6892248.0","1.0","3.0","","",""
"1040","600581","八一钢铁","-9.941520690917969","3.08","124972516","4721325439.6","4739169733.76","2.5794498920440674","","","133113","","","","钢铁行业","2025-04-07","跌停","-2.4590671062469482","7559890.0","15960868.0","1.0","1.0","","",""
"1041","603381","永臻股份","-10.01384449005127","19.5","59646303","1040962455.0","4626498357.0","5.661689281463623","","","133326","","","","光伏设备","2025-04-07","跌停","19.448694229125977","7569256.0","8143200.0","1.0","1.0","","",""
"1042","300785","值得买","-20.012727737426758","25.14","189514882","3073718543.82","4999220809.02","5.832826137542725","","","144057","","","","互联网服","2025-04-07","跌停","985.5037231445312","7574682.0","21389111.0","1.0","5.0","","",""
"1043","000159","国际实业","-9.908256530761719","4.91","55284009","2360103781.88","2360168260.0","2.3157858848571777","","","110427","","","","石油行业","2025-04-07","跌停","-5.378907680511475","7578094.0","21810492.0","1.0","15.0","","",""
"1044","001211","双枪科技","-10.013654708862305","19.77","20946718","1324522287.75","1423440000.0","1.559930443763733","","","112406","","","","家用轻工","2025-04-07","跌停","75.42996978759766","7595634.0","2350653.0","1.0","0.0","","",""
"1045","002051","中工国际","-9.939393997192383","7.43","148045538","9193143064.21","9193948453.92","1.5726170539855957","","","140357","","","","工程建设","2025-04-07","跌停","25.492429733276367","7601781.0","12221063.0","1.0","1.0","","",""
"1046","603786","科博达","-10.006738662719727","53.42","70298546","21495572302.0","21575820039.68","0.32198813557624817","","","132550","","","","汽车零部","2025-04-07","跌停","26.677770614624023","7607008.0","6255482.0","1.0","0.0","","",""
"1047","603103","横店影视","-9.98603343963623","12.89","83945290","8174838000.0","8174838000.0","1.0046143531799316","","","132406","","","","文化传媒","2025-04-07","跌停","-84.82202911376953","7617216.0","8526735.0","1.0","7.0","","",""
"1048","002891","中宠股份","-10.002433776855469","36.98","317542048","10904238091.48","10904238165.439999","2.768080711364746","","","135542","","","","农牧饲渔","2025-04-07","跌停","29.004785537719727","7623427.0","18682296.0","1.0","0.0","","",""
"1049","601999","出版传媒","-10.015649795532227","5.75","76032054","3167759525.0","3167759548.0","2.3362600803375244","","","133452","","","","文化传媒","2025-04-07","跌停","54.35530090332031","7625650.0","9004500.0","1.0","2.0","","",""
"1050","002368","太极股份","-10.0","22.59","483655696","14010690373.56","14078794615.2","3.3578882217407227","","","144030","","","","互联网服","2025-04-07","跌停","73.67849731445312","7628936.0","53145232.0","1.0","4.0","","",""
"1051","600712","南宁百货","-10.056926727294922","4.74","79253483","2553193278.54","2581666406.4","3.0345771312713623","","","132429","","","","商业百货","2025-04-07","跌停","-81.6135025024414","7648748.0","8894136.0","1.0","2.0","","",""
"1052","603331","百达精工","-10.02087688446045","8.62","39737867","1742753982.32","1742753982.32","2.2594215869903564","","","110529","","","","通用设备","2025-04-07","跌停","61.003700256347656","7652663.0","13701490.0","1.0","11.0","","",""
"1053","002761","浙江建投","-10.047281265258789","7.61","173104540","8232373013.360001","8232373074.240001","2.0551061630249023","","","133721","","","","工程建设","2025-04-07","跌停","44.31309127807617","7663574.0","20907714.0","1.0","0.0","","",""
"1054","605162","新中港","-9.98719596862793","7.03","46515714","2815745127.05","2815745134.08","1.6254101991653442","","","112523","","","","公用事业","2025-04-07","跌停","23.572500228881836","7669730.0","7238088.0","1.0","1.0","","",""
"1055","002856","美芝股份","-10.047281265258789","7.61","34911976","921317838.13","1029730468.88","3.758010149002075","","","105021","","","","装修装饰","2025-04-07","跌停","-12.774580001831055","7670880.0","25232756.0","1.0","10.0","","",""
"1056","003022","联泓新科","-10.013350486755371","13.48","126377202","18003456640.0","18003456640.0","0.6887749433517456","","","134136","","","","化学制品","2025-04-07","跌停","76.7926254272461","7674999.0","14458216.0","1.0","0.0","","",""
"1057","603518","锦泓集团","-9.96818733215332","8.49","76341898","2927457564.66","2949812193.12","2.579460382461548","","","111040","","","","纺织服装","2025-04-07","跌停","9.63168716430664","7686676.0","20880306.0","1.0","15.0","","",""
"1058","002414","高德红外","-10.012674331665039","7.1","354711632","24130148260.1","30322226395.199997","1.434320330619812","","","133309","","","","电子元件","2025-04-07","跌停","452.91046142578125","7689541.0","38050447.0","1.0","0.0","","",""
"1059","000037","深南电A","-10.0","7.56","84042898","2562047379.3599997","4556885195.5199995","3.2175731658935547","","","134033","","","","电力行业","2025-04-07","跌停","-74.90239715576172","7695702.0","11897928.0","1.0","2.0","","",""
"1060","002864","盘龙药业","-10.0","25.47","127159708","1884387099.78","2706976051.2","6.585944652557373","","","135557","","","","中药","2025-04-07","跌停","22.666000366210938","7699581.0","12926228.0","1.0","1.0","","",""
"1061","002432","九安医疗","-9.997591018676758","37.36","442234576","16651216943.6","17674957419.52","2.612297534942627","","","134321","","","","医疗器械","2025-04-07","跌停","9.685674667358398","7740992.0","53398648.0","1.0","3.0","","",""
"1062","000576","甘化科工","-9.986320495605469","6.58","56572848","2854748719.62","2871631808.64","1.9440252780914307","","","130006","","","","电源设备","2025-04-07","跌停","107.53361511230469","7751240.0","9704184.0","1.0","1.0","","",""
"1063","688320","禾川科技","-20.0","30.68","234375556","3239216060.08","4633099334.24","6.836762428283691","","","143909","","","","仪器仪表","2025-04-07","跌停","-29.466888427734375","7754952.0","14763341.0","1.0","1.0","","",""
"1064","601015","陕西黑猫","-9.935897827148438","2.81","96471309","5739418365.59","5739418345.92","1.6448638439178467","","","140855","","","","煤炭行业","2025-04-07","跌停","-6.701589584350586","7763704.0","16720062.0","1.0","0.0","","",""
"1065","300475","香农芯创","-19.994112014770508","27.17","1125511072","11961341639.390001","12432061699.2","8.817832946777344","","","144954","","","","电子元件","2025-04-07","跌停","25.593875885009766","7772712.0","538196945.0","1.0","3.0","","",""
"1066","600510","黑牡丹","-10.038609504699707","4.66","53153440","4809238629.62","4809238624.96","1.0867077112197876","","","112830","","","","房地产开","2025-04-07","跌停","45.44668960571289","7774278.0","10632256.0","1.0","1.0","","",""
"1067","600783","鲁信创投","-10.032626152038574","11.03","79130515","8210283012.82","8210283034.879999","0.9485070109367371","","","130016","","","","非金属材","2025-04-07","跌停","19.84380340576172","7792695.0","14619590.0","1.0","1.0","","",""
"1068","000922","佳电股份","-9.964726448059082","10.21","153238228","5996524468.13","7098162057.76","2.518615245819092","","","130127","","","","电机","2025-04-07","跌停","27.67538833618164","7812692.0","21352173.0","1.0","7.0","","",""
"1069","605365","立达信","-10.0","13.59","28215087","6822354984.84","6822355039.2","0.40795767307281494","","","103337","","","","家电行业","2025-04-07","跌停","18.347707748413086","7821045.0","6231015.0","1.0","5.0","","",""
"1070","605050","福然德","-10.037175178527832","9.68","58001466","4770586472.08","4770586501.12","1.1787045001983643","","","130432","","","","物流行业","2025-04-07","跌停","15.413501739501953","7822408.0","3775200.0","1.0","2.0","","",""
"1071","603580","艾艾精工","-9.994416236877441","16.12","38960341","2106451984.0000002","2106451984.0000002","1.8271994590759277","","","130720","","","","塑料制品","2025-04-07","跌停","270.5466613769531","7824293.0","52334547.0","1.0","1.0","","",""
"1072","002554","惠博普","-9.842519760131836","2.29","89827422","3053648361.0","3054218983.2","2.899035930633545","","","111309","","","","采掘行业","2025-04-07","跌停","-29.87020492553711","7861052.0","25947303.0","1.0","1.0","","",""
"1073","605167","利柏特","-10.029790878295898","9.06","102702383","4068574200.0","4068574200.0","2.473400592803955","","","112608","","","","专用设备","2025-04-07","跌停","15.235299110412598","7871328.0","21643431.0","1.0","12.0","","",""
"1074","002893","京能热力","-9.960552215576172","9.13","60319110","1851368782.3400002","2407033200.0","3.2145543098449707","","","112924","","","","公用事业","2025-04-07","跌停","42.31535720825195","7873556.0","10460241.0","1.0","0.0","","",""
"1075","300634","彩讯股份","-20.015605926513672","20.5","490955088","8910958450.0","9249823368.0","5.179086208343506","","","144212","","","","互联网服","2025-04-07","跌停","35.54445266723633","7888420.0","57125278.0","1.0","9.0","","",""
"1076","605388","均瑶健康","-10.031347274780273","5.74","54887460","3446778160.0","3446778160.0","1.5448704957962036","","","131802","","","","食品饮料","2025-04-07","跌停","52.30735397338867","7891994.0","4225787.0","1.0","0.0","","",""
"1077","600379","宝光股份","-9.969481468200684","8.85","52464664","2922283841.4","2922283876.7999997","1.7725234031677246","","","112414","","","","电网设备","2025-04-07","跌停","31.742746353149414","7893315.0","6664050.0","1.0","1.0","","",""
"1078","603018","华设集团","-9.939393997192383","7.43","168470579","5080584456.76","5080584427.04","3.2734408378601074","","","132954","","","","工程咨询","2025-04-07","跌停","16.42149543762207","7902778.0","23996669.0","1.0","0.0","","",""
"1079","300578","会畅通讯","-20.0","15.36","115154429","2980753305.6","3045423206.4","3.6410489082336426","","","134821","","","","通信服务","2025-04-07","跌停","99.32089233398438","7906805.0","10833408.0","1.0","1.0","","",""
"1080","002623","亚玛顿","-9.97977066040039","13.35","39421530","2651792268.75","2657484375.0","1.4672054052352905","","","105909","","","","光伏设备","2025-04-07","跌停","-74.83723449707031","7911210.0","13398060.0","1.0","5.0","","",""
"1081","600223","福瑞达","-9.987358093261719","7.12","202583295","7237969678.0","7237969628.16","2.7030558586120605","","","133324","","","","生物制品","2025-04-07","跌停","29.721633911132812","7915126.0","18432968.0","1.0","5.0","","",""
"1082","605319","无锡振华","-10.010213851928711","26.43","140619088","5647604238.69","6609127638.69","2.473961353302002","","","133922","","","","汽车零部","2025-04-07","跌停","19.794239044189453","7915785.0","47904375.0","1.0","19.0","","",""
"1083","600281","华阳新材","-10.0","3.24","32055900","1666662561.0","1666662583.68","1.8992538452148438","","","105618","","","","小金属","2025-04-07","跌停","-14.25987720489502","7955820.0","8841636.0","1.0","2.0","","",""
"1084","301225","恒勃股份","-19.994800567626953","30.77","134488099","928638600.0","3181002600.0","13.651947975158691","","","132815","","","","汽车零部","2025-04-07","跌停","27.585155487060547","7971276.0","24708310.0","1.0","3.0","","",""
"1085","300075","数字政通","-20.0","13.8","493911872","7098592018.8","8571596208.0","6.506818771362305","","","144236","","","","软件开发","2025-04-07","跌停","313.53216552734375","7995996.0","54552668.0","1.0","3.0","","",""
"1086","600821","金开新能","-10.016695022583008","5.39","296964096","10765250011.67","10765250027.84","2.673398017883301","","","144007","","","","电力行业","2025-04-07","跌停","10.816659927368164","8000916.0","76625857.0","1.0","2.0","","",""
"1087","003013","地铁设计","-10.024752616882324","14.54","73971862","5814510740.5","5937073067.839999","1.2443686723709106","","","130000","","","","工程咨询","2025-04-07","跌停","12.068997383117676","8004270.0","8023172.0","1.0","0.0","","",""
"1088","603535","嘉诚国际","-10.023041725158691","7.81","44234989","3730753417.3799996","3990229967.68","1.1662101745605469","","","130023","","","","物流行业","2025-04-07","跌停","19.496999740600586","8020924.0","11264325.0","1.0","0.0","","",""
"1089","000586","汇源通信","-9.989258766174316","8.38","32278583","1621027200.0000002","1621027200.0000002","1.9776158332824707","","","103421","","","","通信设备","2025-04-07","跌停","-173.509033203125","8026364.0","16893242.0","1.0","12.0","","",""
"1090","600278","东方创业","-10.0","5.94","48921564","5179178408.58","5213957126.400001","0.927171528339386","","","104852","","","","贸易行业","2025-04-07","跌停","20.813905715942383","8037414.0","8823276.0","1.0","4.0","","",""
"1091","001378","德冠新材","-10.004486083984375","20.06","45896742","1304902438.32","2674672016.0","3.4513466358184814","","","132657","","","","塑料制品","2025-04-07","跌停","27.7231502532959","8042154.0","6840459.0","1.0","0.0","","",""
"1092","603332","苏州龙杰","-9.978991508483887","8.57","41166509","1854095366.88","1854095366.88","2.206592082977295","","","105111","","","","化纤行业","2025-04-07","跌停","23.91533851623535","8047401.0","17786178.0","1.0","16.0","","",""
"1093","300688","创业黑马","-19.993009567260742","22.89","226675926","3394451559.87","3831315930.96","6.270540237426758","","","144509","","","","教育","2025-04-07","跌停","-66.57682037353516","8075592.0","24099736.0","1.0","3.0","","",""
"1094","601599","浙文影业","-10.10929012298584","3.29","66799005","3818184670.37","3818184653.92","1.7143105268478394","","","132036","","","","纺织服装","2025-04-07","跌停","20.977514266967773","8138802.0","7579502.0","1.0","0.0","","",""
"1095","002810","山东赫达","-9.9598388671875","11.21","63160824","3587313142.53","3902614783.5200005","1.735101580619812","","","130000","","","","化学制品","2025-04-07","跌停","14.779216766357422","8142944.0","8695597.0","1.0","0.0","","",""
"1096","002646","天佑德酒","-9.957173347473145","8.41","76289101","4005999417.84","4053645028.16","1.8512672185897827","","","134515","","","","酿酒行业","2025-04-07","跌停","52.921165466308594","8181222.0","8630348.0","1.0","0.0","","",""
"1097","600826","兰生股份","-9.93630599975586","7.07","68916328","5200222191.43","5200222212.64","1.307202935218811","","","105057","","","","贸易行业","2025-04-07","跌停","19.271032333374023","8185752.0","17734668.0","1.0","9.0","","",""
"1098","002943","宇晶股份","-10.004050254821777","22.22","271904288","2932608509.8199997","4554431622.4","8.965937614440918","","","144106","","","","通用设备","2025-04-07","跌停","107.33148956298828","8187536.0","25813370.0","1.0","5.0","","",""
"1099","688365","光云科技","-19.984201431274414","10.13","131171519","4313604048.92","4313604089.440001","2.870496988296509","","","133954","","","","互联网服","2025-04-07","跌停","-52.032066345214844","8190966.0","15839042.0","1.0","3.0","","",""
"1100","600796","钱江生化","-9.965035438537598","5.15","42222670","1593811128.3500001","4462916664.0","2.6088454723358154","","","102856","","","","环保行业","2025-04-07","跌停","25.97579002380371","8208070.0","9807659.0","1.0","0.0","","",""
"1101","605580","恒盛能源","-9.964412689208984","10.12","41896172","2833600000.0","2833600000.0","1.4634143114089966","","","104609","","","","电力行业","2025-04-07","跌停","19.20287322998047","8223512.0","13858732.0","1.0","3.0","","",""
"1102","603988","中电电机","-10.015251159667969","17.7","83734813","4163040000.0","4163040000.0","1.9962806701660156","","","140828","","","","电机","2025-04-07","跌停","-229.24920654296875","8225190.0","157177770.0","1.0","5.0","","",""
"1103","605151","西上海","-10.005717277526855","15.74","26355599","2117883454.28","2129255258.0","1.230879306793213","","","100255","","","","汽车零部","2025-04-07","跌停","31.67032241821289","8227298.0","12050544.0","1.0","7.0","","",""
"1104","301326","捷邦科技","-19.99681854248047","50.29","66098042","1351562256.72","3630577320.12","4.683121204376221","","","133142","","","","消费电子","2025-04-07","跌停","3599.534912109375","8231416.0","3248734.0","1.0","2.0","","",""
"1105","605186","健麾信息","-9.985387802124023","18.48","36638382","2513280000.0","2513280000.0","1.4404411315917969","","","112416","","","","医疗服务","2025-04-07","跌停","58.81034469604492","8238384.0","12098856.0","1.0","14.0","","",""
"1106","002858","力盛体育","-9.965337753295898","10.39","78490135","1524494963.8200002","1703127116.8200002","5.095376968383789","","","130312","","","","文化传媒","2025-04-07","跌停","90.53682708740234","8243426.0","76211689.0","1.0","1.0","","",""
"1107","600770","综艺股份","-9.905660629272461","3.82","56626573","4966000000.0","4966000000.0","1.127463459968567","","","130005","","","","综合行业","2025-04-07","跌停","51.623931884765625","8243560.0","12955148.0","1.0","1.0","","",""
"1108","601002","晋亿实业","-10.0217866897583","4.13","55814339","3941840173.6","3941840173.6","1.4020671844482422","","","110024","","","","通用设备","2025-04-07","跌停","30.28893280029297","8248436.0","21419831.0","1.0","10.0","","",""
"1109","688787","海天瑞声","-19.99787139892578","75.17","206416023","4534643780.6","4534643780.6","4.329989433288574","","","144220","","","","互联网服","2025-04-07","跌停","404.3373718261719","8251861.0","30488538.0","1.0","2.0","","",""
"1110","001277","速达股份","-9.986648559570312","33.71","70893893","640490000.0","2561960000.0","10.903684616088867","","","132421","","","","专用设备","2025-04-07","跌停","18.257400512695312","8260568.0","24325136.0","1.0","4.0","","",""
"1111","603661","恒林股份","-9.993178367614746","26.39","28769230","3669978948.09","3669978948.09","0.7722463011741638","","","105545","","","","装修建材","2025-04-07","跌停","10.348432540893555","8282765.0","6655557.0","1.0","10.0","","",""
"1112","600992","贵绳股份","-10.007046699523926","12.77","103503936","3129799300.0","3129799300.0","3.2598140239715576","","","132647","","","","通用设备","2025-04-07","跌停","-95.83660125732422","8286453.0","12681887.0","1.0","1.0","","",""
"1113","002478","常宝股份","-9.948541641235352","5.25","166625928","3777847174.5","4732067676.0","4.302572727203369","","","140854","","","","钢铁行业","2025-04-07","跌停","7.461296081542969","8289750.0","13518225.0","1.0","2.0","","",""
"1114","000926","福星股份","-9.871244430541992","2.1","70118979","3303396917.1","3345226012.8","2.078612804412842","","","110142","","","","房地产开","2025-04-07","跌停","150.86395263671875","8291362.0","13827114.0","1.0","0.0","","",""
"1115","603511","爱慕股份","-10.014410018920898","12.49","30080601","5019572526.88","5077883440.8","0.5936489701271057","","","111304","","","","纺织服装","2025-04-07","跌停","26.952726364135742","8303352.0","9553601.0","1.0","14.0","","",""
"1116","601005","重庆钢铁","-9.774435997009277","1.2","162373686","9976363880.4","10622116454.4","1.584731936454773","","","140509","","","","钢铁行业","2025-04-07","跌停","-3.324022054672241","8306280.0","25831320.0","1.0","0.0","","",""
"1117","002066","瑞泰科技","-10.018214225769043","9.88","59607764","2282280000.0","2282280000.0","2.578961133956909","","","130109","","","","装修建材","2025-04-07","跌停","36.76631546020508","8322912.0","59372872.0","1.0","2.0","","",""
"1118","603917","合力科技","-10.015897750854492","11.32","56423088","2307468800.0","2307468800.0","2.4200844764709473","","","105428","","","","汽车零部","2025-04-07","跌停","526.3051147460938","8322973.0","16281556.0","1.0","3.0","","",""
"1119","000890","法尔胜","-10.091742515563965","2.94","25683576","1233303675.24","1233341665.92","2.0667903423309326","","","100733","","","","通用设备","2025-04-07","跌停","-22.368072509765625","8348424.0","12306546.0","1.0","1.0","","",""
"1120","600293","三峡新材","-9.8305082321167","2.66","50875954","3085985822.36","3085985806.4","1.6224092245101929","","","130702","","","","玻璃玻纤","2025-04-07","跌停","164.5160369873047","8379532.0","10251495.0","1.0","0.0","","",""
"1121","000035","中国天楹","-9.91561222076416","4.27","239264396","10358140747.22","10678344195.679998","2.2372612953186035","","","140112","","","","环保行业","2025-04-07","跌停","22.034914016723633","8400170.0","23570400.0","1.0","1.0","","",""
"1122","002910","庄园牧场","-10.0","7.83","71136749","1339415068.5","1531073087.01","5.217525005340576","","","133039","","","","食品饮料","2025-04-07","跌停","-9.70013427734375","8419599.0","12076992.0","1.0","5.0","","",""
"1123","300252","金信诺","-20.03816795349121","8.38","459417920","4500321916.900001","5548849179.200001","9.594517707824707","","","144827","","","","通信设备","2025-04-07","跌停","746.7247924804688","8445364.0","35889863.0","1.0","4.0","","",""
"1124","002983","芯瑞达","-10.017171859741211","15.72","30720688","2014179532.68","3509248147.8","1.5069375038146973","","","112848","","","","光学光电","2025-04-07","跌停","35.108036041259766","8448368.0","5906001.0","1.0","0.0","","",""
"1125","002224","三 力 士","-9.892473220825195","4.19","70654487","3378358217.36","3779867380.8","2.0529816150665283","","","130039","","","","橡胶制品","2025-04-07","跌停","55.609031677246094","8466733.0","13369871.0","1.0","3.0","","",""
"1126","600816","建元信托","-10.0","2.61","161878633","14274449968.59","25694009948.16","1.1099390983581543","","","132458","","","","多元金融","2025-04-07","跌停","483.3055419921875","8469711.0","30283463.0","1.0","2.0","","",""
"1127","000803","山高环能","-9.981851577758789","4.96","49953766","2275470541.12","2336101987.84","2.182062864303589","","","105457","","","","综合行业","2025-04-07","跌停","-148.83096313476562","8473564.0","49563651.0","1.0","0.0","","",""
"1128","300998","宁波方正","-19.988513946533203","13.93","116486960","1499990479.3999999","1910767373.8999999","7.409228324890137","","","144430","","","","汽车零部","2025-04-07","跌停","-85.87504577636719","8481977.0","14228102.0","1.0","4.0","","",""
"1129","002833","弘亚数控","-9.977703094482422","16.15","100085186","4660215414.5","6851335171.999999","2.124276876449585","","","110112","","","","专用设备","2025-04-07","跌停","11.283681869506836","8489231.0","17688125.0","1.0","3.0","","",""
"1130","603506","南都物业","-9.981851577758789","9.92","58380344","1862755567.68","1862755567.68","3.0714709758758545","","","130005","","","","房地产服","2025-04-07","跌停","23.160219192504883","8507927.0","8442912.0","1.0","0.0","","",""
"1131","603880","南卫股份","-10.018903732299805","4.76","13622769","1375839920.0","1375839920.0","0.9710284471511841","","","105628","","","","医疗器械","2025-04-07","跌停","-77.50888061523438","8515535.0","4625672.0","1.0","6.0","","",""
"1132","002841","视源股份","-9.994668960571289","33.77","172621877","17606120628.91","23504478690.88","0.9672892093658447","","","132715","","","","消费电子","2025-04-07","跌停","24.187973022460938","8520103.0","18419035.0","1.0","1.0","","",""
"1133","002494","华斯股份","-9.905660629272461","3.82","33725445","1095463073.1599998","1441326950.3999999","3.0495123863220215","","","105854","","","","纺织服装","2025-04-07","跌停","390.3282775878906","8523184.0","16123074.0","1.0","19.0","","",""
"1134","603261","立航科技","-9.973614692687988","17.06","23435480","1322235675.32","1329104031.32","1.7569184303283691","","","094249","","","","航天航空","2025-04-07","跌停","-29.352882385253906","8545354.0","10471428.0","1.0","2.0","","",""
"1135","600696","岩石股份","-10.0","8.19","96608027","2739304639.89","2739304582.56","3.4824111461639404","","","134155","","","","酿酒行业","2025-04-07","跌停","-27.190185546875","8554455.0","18756738.0","1.0","4.0","","",""
"1136","603205","健尔康","-9.989566802978516","34.51","84452949","1014555555.8599999","4141199999.9999995","8.129253387451172","","","131058","","","","医疗器械","2025-04-07","跌停","33.23377990722656","8555029.0","13990354.0","1.0","5.0","","",""
